Dấu thời gian,Bạn thuộc nhóm độ tuổi nào sau đây?,Giới tính của bạn là gì?,Hiện bạn đang sinh sống làm việc/học tập tại khu vực nào?,Bạn thường nghe dòng nhạc gì?,Bạn đã biết gì về công ty SpaceSpeakers?,Bạn từng xem/nghe và cảm thấy ấn tượng nhất với sản phẩm nào do công ty SpaceSpeakers phát hành? Vì sao?,Bạn biết đến SSLabel qua phương tiện nào?,"Ngoài những sản phẩm âm nhạc, bạn còn biết đến những sản phẩm nào khác của SpaceSpeakers?",Bạn đã từng biết đến hoặc tham gia sự kiện/chương trình nào có sự góp mặt của SpaceSpeaker?,Bạn quan tâm đến nghệ sĩ nào đang trực thuộc SSLabel?,"Là một người hâm mộ, bạn có theo dõi và mong chờ những sản phẩm tiếp theo của nghệ sĩ đó không?","Nếu có, bạn mong chờ sản phẩm đó như thế nào? (Ví dụ: thể loại nhạc, nội dung MV, phong cách mới, v.v... )",Bạn đã từng trải nghiệm các loại hình xuất bản âm nhạc dưới dạng vật lý nào?,"Theo sở thích cá nhân, bạn sẽ lựa chọn định dạng xuất bản nào?",Vì sao bạn lựa chọn định dạng đó?,"Nếu nghệ sĩ mà bạn thần tượng xuất bản album mới theo các định dạng vật lý, bạn có sẵn sàng mua không?",Yếu tố ảnh hưởng: [chất lượng âm thanh] ,Yếu tố ảnh hưởng: [Giá trị sưu tầm],yếu tố ảnh hưởng: [Ủng hộ nghệ sĩ yêu thích],"Yếu tố ảnh hưởng: [Thiết kế, hình thức sản phẩm]","Bạn cảm thấy thế nào nếu SpaceSpeakers phát hành thêm album dưới dạng đĩa than, đĩa CD hoặc băng cassette?","Bạn sẽ cân nhắc mua album vật lý của SpaceSpeakers với điều kiện nào?
Hãy xếp hạng theo thang từ 1 đến 5. 
1- thực sự không quan trọng
2- không quan trọng
3- bình thường
4- quan trọng
5- rất quan trọng [Có chữ ký của nghệ sĩ]","Bạn sẽ cân nhắc mua album vật lý của SpaceSpeakers với điều kiện nào?
Hãy xếp hạng theo thang từ 1 đến 5. 
1- thực sự không quan trọng
2- không quan trọng
3- bình thường
4- quan trọng
5- rất quan trọng [Có quà tặng kèm( poster, stickers, photobook,etc.)]","Bạn sẽ cân nhắc mua album vật lý của SpaceSpeakers với điều kiện nào?
Hãy xếp hạng theo thang từ 1 đến 5. 
1- thực sự không quan trọng
2- không quan trọng
3- bình thường
4- quan trọng
5- rất quan trọng [Thiết kế bìa đẹp, độc đáo, bắt mắt]","Bạn sẽ cân nhắc mua album vật lý của SpaceSpeakers với điều kiện nào?
Hãy xếp hạng theo thang từ 1 đến 5. 
1- thực sự không quan trọng
2- không quan trọng
3- bình thường
4- quan trọng
5- rất quan trọng [Giá thành rẻ, dễ tiếp cận]","Bạn sẽ cân nhắc mua album vật lý của SpaceSpeakers với điều kiện nào?
Hãy xếp hạng theo thang từ 1 đến 5. 
1- thực sự không quan trọng
2- không quan trọng
3- bình thường
4- quan trọng
5- rất quan trọng [Mã QR đi kèm video hậu trường/ behind the scenes]","Nếu SpaceSpeakers xuất bản album vật lý bản giới hạn, bạn nghĩ số lượng bao nhiêu sẽ tạo cảm giác ""đáng sưu tầm""?",Bạn sẵn lòng bỏ ra bao nhiêu tiền cho một sản phẩm?
24/05/2025 22:13:50,Từ 18 đến 30 tuổi,Nam,Miền Bắc,Pop,"Công ty phát hành, sản xuất âm nhạc",Big city boy vì nghe rất catchy,Qua các sản phẩm trên các nền tảng giải trí số,Các concert và event,"Anh trai vượt ngàn chông gai, Rap Việt",Binz,Đột phá feat với nhiều nghệ sĩ khác trong giới,,Băng cassette,Đĩa than,Tiện,Rất sẵn lòng,1,2,1,1,Khá tò mò - sẽ cân nhắc,4,4,3,3,2,100 đến 500 bản,Trên 2 triệu
24/05/2025 22:14:09,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,Ballad,k,k,"Qua các sản phẩm trên các nền tảng giải trí số, ","Merchandise( quần áo, phụ kiện, etc.)",Anh trai vượt ngàn chông gai,Touliver,,,Đĩa CD,Đĩa CD,không bít nữa ,Rất sẵn lòng,1,1,1,1,Rất thú vị - sẽ mua ngay,4,4,4,4,4,500 đến 1000 bản,Trên 2 triệu
24/05/2025 22:32:13,Trên 30 tuổi,Nữ,Miền Bắc,"Pop, Ballad",Chưa biết,Chưa từng,"Mạng xã hội( facebook, instagram, twitter,... )",Không biết,Không,Hải ngoại,,,Băng cassette,Băng cassette,Nghe trên ô tô,Có thể mua thử,1,1,1,2,Không cần thiết - nghe online là đủ,3,5,4,5,5,100 đến 500 bản,500k đến 1 triệu
24/05/2025 23:04:54,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,Pop,Rồi ạ,Tháng Năm,"Mạng xã hội( facebook, instagram, twitter,... )","Merchandise( quần áo, phụ kiện, etc.)",Anh trai vượt ngàn chông gai,"Soobin Hoàng Sơn, JustaTee",Có ạ. Mình mong sẽ ra thêm nhiều siêu phẩm ạ.,,Đĩa CD,Băng cassette,Dễ sử dụng và ít xước,Có thể mua thử,1,2,2,2,Mong là có gì khác biệt với nghe online ạ,5,5,5,5,4,100 đến 500 bản,500k đến 1 triệu
24/05/2025 23:06:50,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,Hip- hop,hay,chưa xem,"Mạng xã hội( facebook, instagram, twitter,... )",Các concert và event,Rap Việt,Soobin Hoàng Sơn,,,Đĩa CD,Đĩa than,thích,Rất sẵn lòng,3,3,3,3,Rất thú vị - sẽ mua ngay,4,4,4,4,4,100 đến 500 bản,1 triệu đến 2 triệu
24/05/2025 23:57:10,Từ 18 đến 30 tuổi,Nam,Miền Bắc,"Hip- hop, Pop, Ballad, R&B",bt,.,"Mạng xã hội( facebook, instagram, twitter,... )",Các concert và event,Rap Việt,"Binz, JustaTee",,,Đĩa CD,Đĩa CD,.,Có thể mua thử,2,2,2,2,Khá tò mò - sẽ cân nhắc,4,4,4,4,4,100 đến 500 bản,500k đến 1 triệu
25/05/2025 0:07:22,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,Tình yêu,Mình kh bt ạ,Mình ít khi xem,Quảng cáo,Content trên các nền tảng số,Anh trai vượt ngàn chông gai,Soobin Hoàng Sơn,,,Băng cassette,Đĩa than,Tại vì mình thích ah,Rất sẵn lòng,3,3,3,3,Khá tò mò - sẽ cân nhắc,3,3,3,3,3,Dưới 100 bản,Mấy trắm
25/05/2025 0:26:47,Từ 18 đến 30 tuổi,Nam,Miền Bắc,"Pop, Ballad",có,tất nhiên là xem rất nhiều vì hợp gu âm nhạc của tôi,"Mạng xã hội( facebook, instagram, twitter,... )","Các concert và event, Content trên các nền tảng số",Anh trai vượt ngàn chông gai,"Soobin Hoàng Sơn, Rhymastic, Binz, JustaTee",thường thì những bài viral nữa nhưng hầu như bài nào cũng đợi,,"Đĩa than( vinyl), Đĩa CD",Đĩa than,nghe âm thanh hay,Rất sẵn lòng,2,1,2,2,Khá tò mò - sẽ cân nhắc,4,4,4,4,3,100 đến 500 bản,1 triệu đến 2 triệu
25/05/2025 9:35:49,Từ 18 đến 30 tuổi,Nam,Miền Bắc,"Pop, R&B",là cty âm nhạc,Yêu 5,"Mạng xã hội( facebook, instagram, twitter,... ), Qua các sản phẩm trên các nền tảng giải trí số","Các concert và event, Content trên các nền tảng số","Anh trai vượt ngàn chông gai, Rap Việt","Soobin Hoàng Sơn, Touliver, Rhymastic, Binz, SlimV, JustaTee","có, 1 sản phẩm đột phá phá cách hơn các sp trc",,"Đĩa than( vinyl), Đĩa CD, Băng cassette",Đĩa CD,tiện sử dụng,Có thể mua thử,1,2,2,2,Khá tò mò - sẽ cân nhắc,3,3,3,3,3,500 đến 1000 bản,Trên 2 triệu
25/05/2025 9:51:47,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,Ballad,ko bt,,"Mạng xã hội( facebook, instagram, twitter,... )",Các concert và event,Anh trai vượt ngàn chông gai,"Soobin Hoàng Sơn, JustaTee",,,Đĩa CD,Đĩa CD,tiện,Có thể mua thử,3,3,3,3,Rất thú vị - sẽ mua ngay,4,3,4,4,4,100 đến 500 bản,500k đến 1 triệu
25/05/2025 10:01:51,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,"Hip- hop, Pop, Ballad, R&B","SpaceSpeakers nổi bật với phong cách âm nhạc hiện đại, kết hợp giữa rap/hip-hop, R&B, pop và nhạc điện tử, mang đậm dấu ấn cá nhân của từng nghệ sĩ","""BigCityBoi"" mang màu sắc hiện đại, đậm chất hip-hop US-UK nhưng vẫn giữ được bản sắc Việt, thể hiện rõ cá tính và lối chơi nhạc riêng biệt của Binz.",Qua các sản phẩm trên các nền tảng giải trí số,Content trên các nền tảng số,"Anh trai vượt ngàn chông gai, ALL-ROUNDER, Rap Việt","Soobin Hoàng Sơn, Touliver, Rhymastic, Binz, JustaTee","Nếu mình là một người hâm mộ SpaceSpeakers và đặc biệt yêu thích Binz, thì chắc chắn mình sẽ rất mong chờ những sản phẩm tiếp theo của anh ấy. Mình sẽ mong chờ một sản phẩm mang chiều sâu hơn về mặt cảm xúc, không chỉ ""ngầu"" hay sexy, mà còn có yếu tố tự sự hoặc phản ánh cuộc sống của nghệ sĩ một cách chân thật.",,"Đĩa than( vinyl), Đĩa CD",Đĩa CD,"Đĩa CD là vật phẩm vật lý có thể lưu giữ lâu dài, mang tính kỷ niệm và giá trị tinh thần cao hơn so với các định dạng số.",Rất sẵn lòng,3,2,2,2,Khá tò mò - sẽ cân nhắc,2,2,3,2,2,Dưới 100 bản,500k đến 1 triệu
25/05/2025 10:21:56,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,"Hip- hop, Pop","Công ty nhiều nghệ , ca sĩ, rapper như Binz, Rhymastic",,Qua các sản phẩm trên các nền tảng giải trí số,Các concert và event,"Anh trai vượt ngàn chông gai, Rap Việt, Beck' Stage","Soobin Hoàng Sơn, Rhymastic, Binz, JustaTee",Có,,Đĩa CD,Đĩa CD,"- Phổ biến, dễ sử dụng, dễ bảo quản",Có thể mua thử,3,3,3,3,Rất thú vị - sẽ mua ngay,4,4,4,3,4,100 đến 500 bản,1 triệu đến 2 triệu
25/05/2025 10:22:27,Từ 18 đến 30 tuổi,Nam,Miền Nam,"Hip- hop, Pop, Ballad",space speakers in the house make mtfing noise,the playah,"Mạng xã hội( facebook, instagram, twitter,... ), Qua các sản phẩm trên các nền tảng giải trí số","Các concert và event, Các sản phẩm hợp tác với các brand khác, Content trên các nền tảng số","KOSMIK, Rap Việt, Beck' Stage","Soobin Hoàng Sơn, Touliver, Rhymastic, Binz, SlimV, JustaTee",Có,mong chờ anh binz và soobin hoàng sơn,Đĩa CD,Đĩa CD,tại vì mình nghe qua spotify,Rất sẵn lòng,3,3,3,3,Rất thú vị - sẽ mua ngay,4,4,4,4,4,Dưới 100 bản,Trên 2 triệu
25/05/2025 10:22:55,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,"Hip- hop, Pop, Ballad, R&B, Bolero",Soobin và Binz thật sự rất đẹp trai,Tất cả đều hoàn hảo,"Mạng xã hội( facebook, instagram, twitter,... ), Quảng cáo, Qua các sản phẩm trên các nền tảng giải trí số","Merchandise( quần áo, phụ kiện, etc.), Các concert và event, Các sản phẩm hợp tác với các brand khác, Content trên các nền tảng số","Anh trai vượt ngàn chông gai, School Fest 2023, KOSMIK, 5AM Music Event, ALL-ROUNDER, SOHO FEST, Rap Việt, Beck' Stage","Soobin Hoàng Sơn, Touliver, Rhymastic, Binz, SlimV, TINLE, JustaTee",Có,Giai điệu,"Đĩa than( vinyl), Đĩa CD, Băng cassette",Băng cassette,Trông đẹp chứ nhà k có máy phát cho cả 3 định dạng,Không mua,1,1,1,1,"Thấy cũng được nhưng k phải cái tôi cần, người khác thì tôi không biết",3,3,3,3,3,5,100k tiền mạng/ tháng để xem online vì tôi không mua
25/05/2025 10:26:14,Từ 18 đến 30 tuổi,Nam,Miền Bắc,Ballad,Là một công ty có khá nhiều nghệ sĩ làm về dòng nhạc mình yêu thích,Bài của soobin,"Mạng xã hội( facebook, instagram, twitter,... )","Các sản phẩm hợp tác với các brand khác, Content trên các nền tảng số",Rap Việt,"Soobin Hoàng Sơn, JustaTee",Có,Sản phẩm ballad,Đĩa CD,Đĩa CD,Dễ dùng,Chưa chắc chắn,1,1,1,1,Không cần thiết - nghe online là đủ,3,3,3,3,3,100 đến 500 bản,500k đến 1 triệu
25/05/2025 10:27:03,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,nhiều loại nhạc ,ko bic,chưa cem,"Mạng xã hội( facebook, instagram, twitter,... )","Merchandise( quần áo, phụ kiện, etc.), Các concert và event",Anh trai vượt ngàn chông gai,"Soobin Hoàng Sơn, Touliver, Rhymastic, Binz, JustaTee",Có,nhạc giật giật quay tiktok,Đĩa CD,Đĩa CD,dễ dùng,Chưa chắc chắn,2,2,2,1,Không cần thiết - nghe online là đủ,4,4,3,5,5,Dưới 100 bản,500k đến 1 triệu
25/05/2025 10:28:20,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,"Pop, Ballad, R&B",Sản xuất âm nhạc,Vì hay,"Mạng xã hội( facebook, instagram, twitter,... ), Qua các sản phẩm trên các nền tảng giải trí số","Các concert và event, Content trên các nền tảng số","Anh trai vượt ngàn chông gai, Rap Việt","Soobin Hoàng Sơn, Rhymastic, Binz, JustaTee",Có,,"Đĩa than( vinyl), Đĩa CD",Đĩa than,Nghe đầm tai,Chưa chắc chắn,2,2,2,2,Khá tò mò - sẽ cân nhắc,3,5,4,4,5,Dưới 100 bản,1 triệu đến 2 triệu
25/05/2025 10:28:28,Từ 18 đến 30 tuổi,Nữ,Miền Trung,"Hip- hop, Pop, Ballad, R&B, ","Không tìm hiểu rõ về công ty
Nhưng biết nghệ sĩ","Ấn tượng nhiều sản phẩm âm nhạc. Beat hay, lyrics và giọng hát phù hợp đều tuyệt","Mạng xã hội( facebook, instagram, twitter,... ), Qua các sản phẩm trên các nền tảng giải trí số","Các concert và event, Các sản phẩm hợp tác với các brand khác, Content trên các nền tảng số","5AM Music Event, ALL-ROUNDER, Rap Việt","Soobin Hoàng Sơn, Touliver, Rhymastic, Binz, SlimV, JustaTee",Có,Nhạc hay là được,Đĩa CD,Đĩa CD,Rẻ là được,Có thể mua thử,3,1,3,3,Khá tò mò - sẽ cân nhắc,4,4,4,4,4,100 đến 500 bản,500k đến 1 triệu
25/05/2025 10:30:00,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,Ballad,Chưa biết ,,"Mạng xã hội( facebook, instagram, twitter,... )",Các concert và event,Anh trai vượt ngàn chông gai,Soobin Hoàng Sơn,Có,,Đĩa CD,Băng cassette,Sự tiện dụng ,Có thể mua thử,3,3,2,2,Không cần thiết - nghe online là đủ,4,3,4,5,3,Dưới 100 bản,500k đến 1 triệu
25/05/2025 10:30:02,Từ 18 đến 30 tuổi,Nam,Miền Bắc,"Hip- hop, Pop, Ballad, R&B",Tôi đã biết về các thành viên trong công ty,SpaceJam Volume 1. Vì số lượng bài hát và nghệ sĩ trong sản phẩm này rất phong phú.,"Mạng xã hội( facebook, instagram, twitter,... ), Quảng cáo, Qua các sản phẩm trên các nền tảng giải trí số","Merchandise( quần áo, phụ kiện, etc.), Các concert và event","Anh trai vượt ngàn chông gai, Rap Việt, Beck' Stage","Soobin Hoàng Sơn, Touliver, Rhymastic, Binz, SlimV, TINLE, JustaTee",Có,Soobin hát nhạc ballad,chưa từng trải nghiệm,Đĩa than,Vì sự độc đáo của nó ,Rất sẵn lòng,1,1,1,1,Rất thú vị - sẽ mua ngay,5,5,5,5,5,100 đến 500 bản,1 triệu đến 2 triệu
25/05/2025 10:30:43,Từ 18 đến 30 tuổi,Nam,Miền Bắc,"Hip- hop, Pop, Ballad, R&B",cty âm nhạc,ss everyday,"Mạng xã hội( facebook, instagram, twitter,... ), Qua các sản phẩm trên các nền tảng giải trí số","Các concert và event, Content trên các nền tảng số","KOSMIK, Rap Việt","Soobin Hoàng Sơn, Touliver, TINLE",Có,như này đủ hay r,Đĩa CD,Băng cassette,thích,Rất sẵn lòng,3,3,3,3,Rất thú vị - sẽ mua ngay,4,4,4,4,4,100 đến 500 bản,Trên 2 triệu
25/05/2025 10:31:27,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,"Hip- hop, Pop, Ballad",Là một công ty giải trí tại Việt Nam được thành lập từ năm 2011,"Don't break my heart, vì nó hay","Mạng xã hội( facebook, instagram, twitter,... ), Quảng cáo, Qua các sản phẩm trên các nền tảng giải trí số","Các sản phẩm hợp tác với các brand khác, Content trên các nền tảng số","ALL-ROUNDER, Beck' Stage","Touliver, Rhymastic, Binz, JustaTee",Có,,"Đĩa than( vinyl), Băng cassette",Băng cassette,Vì mình thích ,Rất sẵn lòng,1,1,1,1,Rất thú vị - sẽ mua ngay,5,5,5,5,5,500 đến 1000 bản,1 triệu đến 2 triệu
25/05/2025 10:32:18,Từ 18 đến 30 tuổi,Nam,Miền Bắc,"Hip- hop, Pop, Ballad, R&B","Những ca sĩ nổi tiếng, binz, sobin hoàng sơn, tourliver, rhymastic",Freaky squad,"Mạng xã hội( facebook, instagram, twitter,... ), Quảng cáo, Qua các sản phẩm trên các nền tảng giải trí số","Các concert và event, Các sản phẩm hợp tác với các brand khác, Content trên các nền tảng số","Rap Việt, Beck' Stage","Soobin Hoàng Sơn, Touliver, Rhymastic, Binz, JustaTee",Có,,"Đĩa CD, Băng cassette",Đĩa CD,.,Không mua,3,3,3,3,Lạc hậu - không còn phù hợp,5,1,3,5,3,Dưới 100 bản,500k đến 1 triệu
25/05/2025 10:34:29,Từ 18 đến 30 tuổi,Nam,Miền Bắc,"Hip- hop, R&B, Plugg, pluggnb, trap",Mình biết đến ss thông qua những bản nhạc được đăng trên mạng xã hội,Mình thấy ấn tượng với rất nhiều sản phẩm của ss. Nói chung là hay 👍 ,"Mạng xã hội( facebook, instagram, twitter,... )",Các sản phẩm hợp tác với các brand khác,"Rap Việt, Beck' Stage","Touliver, Rhymastic, Binz, TINLE, JustaTee",Có,Mình thích trap và pluggnb. ,Đĩa CD,Đĩa CD,Mình thấy đĩa CD khá là tiện dụng. Và mình cảm thấy đĩa CD có giá trị tinh thần hơn đối với mình,Rất sẵn lòng,2,3,3,3,Rất thú vị - sẽ mua ngay,4,4,2,1,3,500 đến 1000 bản,…
25/05/2025 10:35:10,Từ 18 đến 30 tuổi,Nam,Miền Bắc,"Hip- hop, Pop, Ballad, R&B, ",Chưa biết về công ty,,"Mạng xã hội( facebook, instagram, twitter,... )","Merchandise( quần áo, phụ kiện, etc.)",Anh trai vượt ngàn chông gai,"Soobin Hoàng Sơn, Touliver, Rhymastic, Binz, SlimV, TINLE, JustaTee",Có,,"Đĩa than( vinyl), Đĩa CD, Băng cassette",Đĩa CD,Vui,Rất sẵn lòng,1,3,2,2,Rất thú vị - sẽ mua ngay,1,1,1,1,1,100 đến 500 bản,500k đến 1 triệu
25/05/2025 10:36:38,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,Pop,"Soobin, BinZ",Các sản phẩm làm chung của các ca sĩ trong công ty,"Mạng xã hội( facebook, instagram, twitter,... )","Merchandise( quần áo, phụ kiện, etc.), Các sản phẩm hợp tác với các brand khác","Anh trai vượt ngàn chông gai, 5AM Music Event, SOHO FEST, Rap Việt","Soobin Hoàng Sơn, Touliver, Rhymastic, Binz",Có,,Đĩa than( vinyl),Đĩa than,Vì thích,Rất sẵn lòng,1,1,1,1,Rất thú vị - sẽ mua ngay,4,3,3,2,3,500 đến 1000 bản,1 triệu đến 2 triệu
25/05/2025 10:39:41,Từ 18 đến 30 tuổi,Nam,Miền Bắc,"Ballad, R&B",Chưa biết,Mình chưa,Quảng cáo,Content trên các nền tảng số,Anh trai vượt ngàn chông gai,Soobin Hoàng Sơn,Có,,Đĩa CD,Đĩa than,Mình thich á,Chưa chắc chắn,3,1,3,2,Khá tò mò - sẽ cân nhắc,2,2,5,4,1,Dưới 100 bản,1 triệu đến 2 triệu
25/05/2025 10:41:05,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,Hip- hop,Mình có nghe tên và biết qua chứ không rõ nhiều,Mình chưa,Qua các sản phẩm trên các nền tảng giải trí số,Các concert và event,Rap Việt,Binz,Không,,Đĩa CD,Đĩa CD,Mình nghĩ nó khá thuận tiện và mình thích việc đi mua CD về nghe,Có thể mua thử,2,2,2,2,Không cần thiết - nghe online là đủ,3,3,3,3,3,Dưới 100 bản,500k đến 1 triệu
25/05/2025 10:42:13,Từ 18 đến 30 tuổi,Nam,Miền Nam,"Hip- hop, Pop",Công ty về nghệ sĩ hip hop số 1 VN,Don't break my heart của Binz,"Mạng xã hội( facebook, instagram, twitter,... ), Quảng cáo","Các concert và event, Các sản phẩm hợp tác với các brand khác","Rap Việt, Beck' Stage","Binz, JustaTee",Có,tôi mong chờ 1 phong cách mới từ các nghệ sĩ,"Đĩa than( vinyl), Băng cassette",Đĩa than,Vì nó mang tính hoài cổ,Có thể mua thử,1,1,2,2,Rất thú vị - sẽ mua ngay,5,3,4,5,4,Dưới 100 bản,500k đến 1 triệu
25/05/2025 10:44:07,Từ 18 đến 30 tuổi,Nam,Miền Bắc,"Hip- hop, Pop, Ballad, R&B","Các nghệ sĩ như Rhymastic, Binz, 16Typh,..",Freaky Squad vì quảng bá Free Fire,"Mạng xã hội( facebook, instagram, twitter,... ), Quảng cáo, Qua các sản phẩm trên các nền tảng giải trí số",Content trên các nền tảng số,"Anh trai vượt ngàn chông gai, KOSMIK, ALL-ROUNDER, SOHO FEST, Rap Việt, Beck' Stage","Soobin Hoàng Sơn, Touliver, Rhymastic, Binz, SlimV, JustaTee",Có,Anh Tee ra bài,Chưa,Băng cassette,Nhìn khá ưng mắt,Có thể mua thử,1,2,3,2,Không cần thiết - nghe online là đủ,4,3,4,4,2,100 đến 500 bản,500k đến 1 triệu
25/05/2025 10:46:29,Từ 18 đến 30 tuổi,Nam,Miền Bắc,"Pop, Ballad, R&B",chưa từng nghe,chưa,chưa biết,không rõ,Rap Việt,"Soobin Hoàng Sơn, Touliver",Không,,chưa,Đĩa CD,"đơn giản, dễ dùng",Chưa chắc chắn,2,2,1,1,Lạc hậu - không còn phù hợp,2,3,2,2,1,100 đến 500 bản,không đồng nào
25/05/2025 10:48:18,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,"Pop, Ballad",Có,,"Mạng xã hội( facebook, instagram, twitter,... )","Merchandise( quần áo, phụ kiện, etc.), Các concert và event, Các sản phẩm hợp tác với các brand khác, Content trên các nền tảng số","Anh trai vượt ngàn chông gai, ALL-ROUNDER, Rap Việt","Soobin Hoàng Sơn, JustaTee",Có,,Đĩa CD,Đĩa than,Kh bt,Rất sẵn lòng,3,3,3,3,Khá tò mò - sẽ cân nhắc,4,4,4,4,4,Dưới 100 bản,500k đến 1 triệu
25/05/2025 10:48:29,Từ 18 đến 30 tuổi,Nam,Miền Bắc,"Pop, Ballad, R&B",SpaceSpeakers là một tập thể âm nhạc nổi tiếng tại Việt Nam với rất nhiều sản phẩm chất lượng cao cả về âm thanh lẫn hình ảnh. ,"a B ""Người Đặc Biệt"" của Binz vì Giai điệu bắt tai, flow củinz cực kỳ mượt mà và cá tính.","Mạng xã hội( facebook, instagram, twitter,... )","Các concert và event, Content trên các nền tảng số","Anh trai vượt ngàn chông gai, Rap Việt","Soobin Hoàng Sơn, Touliver, Rhymastic, Binz, JustaTee",Có,,"Đĩa than( vinyl), Băng cassette",Băng cassette,vì nó có thể sưu tầm,Rất sẵn lòng,3,3,3,3,Rất thú vị - sẽ mua ngay,5,5,5,5,5,100 đến 500 bản,1 triệu đến 2 triệu
25/05/2025 10:48:41,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,"Hip- hop, Pop, Ballad","có các nghệ sĩ nổi tiếng như Binz, Soobin Hoàng Sơn mà mình thích","Bigcityboi, Cho mình em, Yêu 5","Mạng xã hội( facebook, instagram, twitter,... ), Qua các sản phẩm trên các nền tảng giải trí số","Các concert và event, Các sản phẩm hợp tác với các brand khác","Anh trai vượt ngàn chông gai, Rap Việt","Soobin Hoàng Sơn, Touliver, Rhymastic, Binz, JustaTee",Có,"Sự kết hợp của các thành viên SS để cho ra một mV với loại nhạc bắt tai, trendy...",Đĩa CD,Đĩa CD,Sở thích của mình,Có thể mua thử,3,2,3,3,Khá tò mò - sẽ cân nhắc,4,4,4,5,3,100 đến 500 bản,500k đến 1 triệu
25/05/2025 10:49:28,Từ 18 đến 30 tuổi,Nam,Miền Bắc,Ballad,Rồi,,"Mạng xã hội( facebook, instagram, twitter,... )",Các concert và event,"Anh trai vượt ngàn chông gai, SOHO FEST","Soobin Hoàng Sơn, JustaTee",Có,,Đĩa CD,Đĩa CD,idk,Có thể mua thử,2,1,2,2,Khá tò mò - sẽ cân nhắc,1,1,2,1,2,Dưới 100 bản,1 triệu đến 2 triệu
25/05/2025 10:50:46,Từ 18 đến 30 tuổi,Nam,Miền Bắc,"Pop, Remix",Không biết gì,Chưa nghe bao giờ,Quảng cáo,Các concert và event,"Anh trai vượt ngàn chông gai, Rap Việt","Soobin Hoàng Sơn, JustaTee",Có,Mv mang tính độc đáo hơn,"Đĩa CD, Băng cassette",Đĩa CD,Vì nó dễ sẻ dụng,Có thể mua thử,3,3,3,2,Khá tò mò - sẽ cân nhắc,3,3,2,3,2,Dưới 100 bản,500k đến 1 triệu
25/05/2025 10:51:00,Trên 30 tuổi,Nữ,Miền Bắc,Ballad,Công ty truyền thông đa nền tảng,,"Mạng xã hội( facebook, instagram, twitter,... ), Quảng cáo, Qua các sản phẩm trên các nền tảng giải trí số",Content trên các nền tảng số,"Anh trai vượt ngàn chông gai, Rap Việt","Touliver, Rhymastic",Có,,Đĩa CD,Đĩa CD,Dễ tiếp cận,Có thể mua thử,1,1,1,1,Khá tò mò - sẽ cân nhắc,3,3,3,3,3,100 đến 500 bản,500k đến 1 triệu
25/05/2025 10:51:03,Từ 18 đến 30 tuổi,Nam,Miền Bắc,"Hip- hop, Pop, Ballad, R&B",Là công ty âm nhạc rất thành công,Dancing in the dark,"Mạng xã hội( facebook, instagram, twitter,... ), Quảng cáo, Qua các sản phẩm trên các nền tảng giải trí số","Merchandise( quần áo, phụ kiện, etc.), Các concert và event, Các sản phẩm hợp tác với các brand khác, Content trên các nền tảng số","Anh trai vượt ngàn chông gai, School Fest 2023, KOSMIK, 5AM Music Event, ALL-ROUNDER, SOHO FEST, Rap Việt, Beck' Stage","Soobin Hoàng Sơn, Touliver, Rhymastic, Binz, SlimV, TINLE, JustaTee",Có,Một bài nhạc trữ tình của binz,"Đĩa than( vinyl), Đĩa CD, Băng cassette",Băng cassette,Cảm giác rất hoài niệm,Rất sẵn lòng,1,1,1,1,Rất thú vị - sẽ mua ngay,4,4,4,4,4,Dưới 100 bản,1 triệu đến 2 triệu
25/05/2025 10:52:12,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,"Hip- hop, Pop","có touliver, binz, rhymastic,…",bigcityboi của binz tại n hay 🥰,"Mạng xã hội( facebook, instagram, twitter,... ), Qua các sản phẩm trên các nền tảng giải trí số","Merchandise( quần áo, phụ kiện, etc.), Các concert và event, Các sản phẩm hợp tác với các brand khác","Anh trai vượt ngàn chông gai, 5AM Music Event, ALL-ROUNDER, SOHO FEST, Rap Việt","Soobin Hoàng Sơn, Rhymastic, Binz, JustaTee",Có,,Đĩa CD,Đĩa CD,tại n tiện ,Rất sẵn lòng,3,3,3,3,Rất thú vị - sẽ mua ngay,4,3,4,4,3,100 đến 500 bản,1 triệu đến 2 triệu
